X,Y,X,Y,id,gridarea,buildingfootprintarea,percentbuilt,join_Point_X,join_Point_Y,distToBuilding,terrain,HorticultureZone,Area,Temparea,Valley
22086.1321491235,30429.7719520501,103.78018,1.29147,"4516",399.99965,287.05909,71.76484,103.78081,1.29108,0.00000,27.60141,Zone 2,,Temparea,Valley
22086.1317329909,30409.8684722761,103.78018,1.29129,"4517",399.99965,307.71260,76.92822,103.78081,1.29108,0.00000,26.93556,Zone 2,,Temparea,Valley
22086.1313169164,30389.9649925303,103.78018,1.29111,"4518",399.99965,86.19234,21.54810,103.78081,1.29108,5.26640,26.82293,Zone 2,,Temparea,Valley
22086.1309008999,30370.0615128128,103.78018,1.29093,"4519",399.99965,9.54379,2.38595,103.78037,1.29049,9.73356,25.46576,Zone 2,,Temparea,Valley
22086.1304849413,30350.1580331236,103.78018,1.29075,"4520",399.99965,201.83914,50.45983,103.78037,1.29049,0.00000,23.59705,Zone 2,,Temparea,Valley
22086.1300690408,30330.2545534627,103.78018,1.29057,"4521",399.99965,30.06997,7.51750,103.78037,1.29049,7.89371,22.80979,Zone 2,,Temparea,Valley
22086.1296531982,30310.35107383,103.78018,1.29039,"4522",399.99965,123.07046,30.76764,103.78037,1.29049,0.00000,21.82045,Zone 2,,Temparea,Valley
22106.1637807682,30389.9645744976,103.78036,1.29111,"4591",399.99966,305.26863,76.31722,103.78081,1.29108,0.00000,27.45016,Zone 2,,Temparea,Valley
22106.1633661605,30370.0610948383,103.78036,1.29093,"4592",399.99966,13.31842,3.32961,103.78081,1.29108,6.54734,26.87390,Zone 2,,Temparea,Valley
22106.1629516105,30350.1576152074,103.78036,1.29075,"4593",399.99966,159.63646,39.90915,103.78037,1.29049,0.00000,25.54900,Zone 2,,Temparea,Valley
22106.1625371184,30330.2541356047,103.78036,1.29057,"4594",399.99966,188.05608,47.01406,103.78037,1.29049,0.00000,24.34069,Zone 2,,Temparea,Valley
22106.1621226841,30310.3506560303,103.78036,1.29039,"4595",399.99966,183.85802,45.96454,103.78037,1.29049,0.00000,21.63323,Zone 2,,Temparea,Valley
22126.1958313626,30370.0606782817,103.78054,1.29093,"4665",399.99966,207.77231,51.94312,103.78081,1.29108,0.00000,27.55060,Zone 2,,Temparea,Valley
22126.1954182212,30350.1571987088,103.78054,1.29075,"4666",399.99966,105.88238,26.47062,103.78081,1.29108,2.50724,26.48653,Zone 2,,Temparea,Valley
22126.1950051375,30330.2537191642,103.78054,1.29057,"4667",399.99966,204.71474,51.17873,103.78037,1.29049,0.00000,24.48252,Zone 2,,Temparea,Valley
22126.1945921114,30310.3502396478,103.78054,1.29039,"4668",399.99966,97.36067,24.34019,103.78037,1.29049,2.63090,21.93659,Zone 2,,Temparea,Valley
22126.1941791429,30290.4467601597,103.78054,1.29021,"4669",399.99966,162.58669,40.64671,103.78037,1.29049,4.29140,21.74424,Zone 2,,Temparea,Valley
22146.2278847736,30350.1567836279,103.78072,1.29075,"4739",399.99966,331.56613,82.89160,103.78081,1.29108,0.00000,26.66349,Zone 2,,Temparea,Valley
22146.2274730983,30330.2533041411,103.78072,1.29057,"4740",399.99966,66.61629,16.65409,103.78037,1.29049,1.30976,25.23193,Zone 2,,Temparea,Valley
22146.2270614805,30310.3498246826,103.78072,1.29039,"4741",399.99966,135.95309,33.98830,103.78037,1.29049,2.41547,22.92579,Zone 2,,Temparea,Valley
22166.2603512679,30350.1563699647,103.78090,1.29075,"4812",399.99966,391.83092,97.95781,103.78081,1.29108,0.00000,27.60996,Zone 2,,Temparea,Valley
22166.259941001,30330.2528905355,103.78090,1.29057,"4813",399.99966,35.71520,8.92881,103.78081,1.29108,7.32263,27.45956,Zone 2,,Temparea,Valley
22166.2595307914,30310.3494111346,103.78090,1.29039,"4814",399.99966,117.45702,29.36428,103.78085,1.29038,0.00000,25.53324,Zone 2,,Temparea,Valley
22186.2928177042,30350.155957719,103.78108,1.29075,"4885",399.99967,196.99472,49.24872,103.78081,1.29108,0.00000,28.98627,Zone 2,,Temparea,Valley
22205.2123692854,30350.1555696776,103.78125,1.29075,"4958",399.99967,187.19763,46.79945,103.78081,1.29108,0.60776,29.57092,Zone 2,,Temparea,Valley
22205.2119617571,30330.25209036,103.78125,1.29057,"4959",399.99967,179.80678,44.95173,103.78134,1.29048,0.00000,30.75975,Zone 2,,Temparea,Valley
22205.2115542857,30310.3486110706,103.78125,1.29039,"4960",399.99967,171.60387,42.90100,103.78134,1.29048,0.00000,26.32091,Zone 2,,Temparea,Valley
22225.2448356097,30350.1551601885,103.78143,1.29075,"5031",399.99967,137.57562,34.39393,103.78081,1.29108,3.24851,28.79874,Zone 2,,Temparea,Valley
22225.2444294898,30330.251680928,103.78143,1.29057,"5032",399.99967,173.30424,43.32610,103.78134,1.29048,0.94134,27.62245,Zone 2,,Temparea,Valley
