X,Y,buildingfootprintarea,percentbuilt,distToBuilding,terrain,HorticultureZone,Area,Temparea,Valley,distToTree,distToWalkway,distToRoad,distToPath,distToCourtTrack,distToCarpark,id,gridarea,roadarea,percentroad,patharea,percentpath,walkwayarea,percentwalkway,courttrackarea,percentcourttrack,carparkarea,percentcarpark,numtrees
20905.3347756912,30629.9396917879,93.76005,23.44004,0.90144,13.92719,Zone 4,,Temparea,,6.92818868495332,54.3526783593509,61.8195378771606,28.9609958528888,22.1979147492047,108.900289250174,"199",399.9995,,,,,,,,,,,"2"
20925.3717435683,30810.1762936535,,,23.2532,17.59179,Zone 4,,,,4.37236658805161,1.85597665968322,3.95626879437544,35.7945222069038,132.542194936602,38.9786737923695,"263",399.9995,134.431398725826,33.6078916913211,,,28.0759276426845,7.01899068440949,,,,,"2"
20925.3712444543,30790.2728096259,,,29.46045,17.03569,Zone 4,,,,12.0192574288825,14.3094691778904,0,30.1810510204453,113.122969245258,38.1378043925786,"264",399.9995,318.019378740682,79.5049440663505,,,,,,,,,"0"
20925.3707454097,30770.3693256268,,,23.80497,16.70923,Zone 4,,,,6.07128191346409,23.1203969769479,0.887224795953112,26.7070741130333,93.9067423848899,34.2665946447801,"265",399.9995,234.876241273481,58.7191337172873,,,,,,,,,"1"
20925.3702464345,30750.4658416559,,,15.67716,16.35878,Zone 4,,,,5.79517090537096,15.296675482701,0,33.0234120350139,75.0084928398609,29.4295266003058,"266",399.9995,286.179289909773,71.5449119085831,,,,,,,,,"2"
20925.3697475286,30730.5623577134,0.02421,0.00605,10.34815,16.0732,Zone 4,,,,4.6705805161843,8.92769938987944,0,47.5407301175765,56.7912911454027,35.7772469267779,"267",399.9995,250.82189059038,62.7055510295339,,,9.64563887828453,2.41141273383705,,,,,"1"
20925.3692486921,30710.6588737993,110.62125,27.65535,2.27156,16.0786,Zone 4,,,,12.1983751106192,0,1.50677625029821,49.0061032287956,40.2060300674624,49.8620406684951,"268",399.9995,145.314707794133,36.3287223594361,,,89.1184061052404,22.2796293758468,,,,,"0"
20925.368749925,30690.7553899135,9.40697,2.35175,9.13619,16.61875,Zone 4,,Temparea,Valley,1.22030591806712,4.61987457523022,9.41715582701033,29.3225457877923,28.1698525127353,61.6949374993494,"269",399.9995,12.7828016698493,3.19570441209283,,,61.1592791664808,15.2898389039188,,,,,"1"
20925.3682235238,30669.7461569536,201.82967,50.45748,0,15.63888,Zone 4,,Temparea,Valley,9.67943643303972,21.2838095371722,26.5245204082626,9.58724302505319,19.1673520714147,72.9344907579833,"270",399.9995,,,3.76471797368282,0.941180669896543,,,,,,,"1"
20925.3677248993,30649.8426731262,216.61183,54.15303,0,15.07653,Zone 4,,Temparea,Valley,15.307637048334,37.9583742339038,45.222620820193,12.670369261226,20.3880009770697,81.7303543108018,"271",399.9995,,,,,,,,,,,"0"
